Player_Name,Era_Label,Classic_ML_Rank,Classic_Greatness_Index,All_NBA_Teams,Championships,Career_PPG,All_Defensive_Teams,Seasons_Played
Michael Jordan,1990-1999,1,100.0,11,6,30.1,9,15
LeBron James,2010-2019,2,99.48823890673917,20,4,26.8,6,23
Kareem Abdul-Jabbar,1980-1989,3,96.91144994647945,15,6,24.6,11,20
Tim Duncan,2000-2009,4,96.88259166442832,15,5,19.0,15,19
Bill Russell,1960-1969,5,95.92756572677906,11,11,15.1,1,13
Kobe Bryant,2000-2009,6,95.56354776509275,15,5,25.0,12,20
Larry Bird,1980-1989,7,94.18543454876033,10,3,24.3,3,13
Magic Johnson,1980-1989,8,94.179739633086,10,5,19.5,0,13
Shaquille O'Neal,2000-2009,9,93.3478233073315,14,4,23.7,3,19
Wilt Chamberlain,1960-1969,10,92.98001575822379,10,2,30.1,2,14
Kevin Durant,2010-2019,11,90.75129312974408,11,2,27.1,0,18
Hakeem Olajuwon,1990-1999,12,89.80395223216057,12,2,21.8,9,18
Karl Malone,1990-1999,13,89.36495340135203,14,2,25.0,4,19
Stephen Curry,2010-2019,14,88.28553208588986,10,4,24.8,0,17
Julius Erving,1980-1989,15,87.94972358610892,7,3,22.0,0,11
David Robinson,1990-1999,16,84.52583450800462,10,2,21.1,8,14
Kevin Garnett,2000-2009,17,84.37279285881827,9,1,17.8,12,21
Dirk Nowitzki,2000-2009,18,84.32531403031234,12,1,20.7,0,21
Jerry West,1970-1979,19,83.56864329477635,12,1,27.0,5,14
Oscar Robertson,1970-1979,20,79.70916545101083,11,1,25.7,0,14
John Havlicek,1970-1979,21,76.56291489418643,11,8,20.8,8,16
Moses Malone,1980-1989,22,76.02079015119521,8,3,20.6,1,19
Nikola Jokic,2020-2029,23,75.9927777641536,6,1,22.2,0,11
Dwyane Wade,2010-2019,24,74.22560271040541,8,3,22.0,3,16
Charles Barkley,1990-1999,25,73.99846365252225,11,0,22.1,0,16
Giannis Antetokounmpo,2020-2029,26,73.38294936047012,8,1,24.1,5,13
John Stockton,1990-1999,27,72.98960988557201,11,0,13.1,5,19
Bob Pettit,1960-1969,28,71.37074410818155,11,1,26.4,0,11
Chris Paul,2010-2019,29,71.26207575568812,11,0,16.8,9,21
Kawhi Leonard,2010-2019,30,71.16904670490327,6,2,20.7,7,14
James Harden,2010-2019,31,70.40829849232225,10,0,24.0,0,17
Bob Cousy,1960-1969,32,69.36104336440062,12,6,18.4,0,14
Elgin Baylor,1960-1969,33,69.32819763237681,10,0,27.4,0,14
Scottie Pippen,1990-1999,34,68.5558724638337,7,6,16.1,10,17
Rick Barry,1970-1979,35,66.45783348739693,10,1,23.2,0,10
Jason Kidd,2000-2009,36,64.85850074903958,6,1,12.6,9,19
George Gervin,1980-1989,37,58.65375006309238,9,0,26.2,0,10
Isiah Thomas,1980-1989,38,57.17267774770036,5,2,19.2,0,13
Walt Frazier,1970-1979,39,56.693817027054635,6,2,18.9,7,13
Russell Westbrook,2010-2019,40,56.168426044576506,9,0,20.9,0,18
Gary Payton,1990-1999,41,55.660388579383934,9,1,16.3,9,17
Steve Nash,2000-2009,42,55.584899042143434,7,0,14.3,0,18
Dwight Howard,2010-2019,43,53.86394150511249,8,1,15.7,5,18
Allen Iverson,2000-2009,44,53.56584080405299,7,0,26.7,0,14
George Mikan,1960-1969,45,53.47677547469127,2,0,23.1,0,7
Clyde Drexler,1990-1999,46,52.62789768532888,5,1,20.4,0,15
Elvin Hayes,1970-1979,47,52.5987143526996,6,1,21.0,2,16
Patrick Ewing,1990-1999,48,52.45553494819383,7,0,21.0,3,17
Anthony Davis,2020-2029,49,50.74522523923596,5,1,24.0,5,14
Kevin McHale,1980-1989,50,50.21608458359979,1,3,17.9,6,13
Willis Reed,1970-1979,51,49.91657958698598,5,2,18.7,1,10
Paul Pierce,2000-2009,52,43.59983156636664,4,1,19.7,0,19
Dominique Wilkins,1990-1999,53,43.54993514375226,7,0,24.8,0,15
Joel Embiid,2020-2029,54,41.141693419395764,5,0,27.6,3,10
Ray Allen,2000-2009,55,40.01888471644502,2,2,18.9,0,18
Luka Doncic,2020-2029,56,39.88228135530384,5,0,29.2,0,8
Carmelo Anthony,2010-2019,57,38.33991520505434,6,0,22.5,0,19
Damian Lillard,2010-2019,58,36.19126408639593,7,0,25.1,0,13
Reggie Miller,1990-1999,59,33.071235400801676,3,0,18.2,0,18
Pau Gasol,2010-2019,60,32.82864831211678,4,2,17.0,0,18
James Worthy,1990-1999,61,31.220919740348517,2,3,17.6,0,12
Dolph Schayes,1960-1969,62,30.543453857558756,2,0,18.5,0,15
Kyrie Irving,2010-2019,63,29.01719912393974,3,1,23.7,0,14
Robert Parish,1980-1989,64,28.983009673041877,2,4,14.5,0,21
Dave Cowens,1970-1979,65,28.85264034495969,3,2,17.6,3,11
Nate Archibald,1970-1979,66,27.504361044428364,5,1,18.8,0,13
Tony Parker,2000-2009,67,27.29013311655698,4,4,15.5,0,18
Manu Ginobili,2000-2009,68,26.582689422998268,2,4,13.3,0,16
Wes Unseld,1970-1979,69,26.027794358494994,1,1,10.8,0,13
Tracy McGrady,2000-2009,70,24.525596936576584,2,0,19.6,0,15
Artis Gilmore,1980-1989,71,24.368294485668784,5,1,17.1,5,12
Bill Walton,1990-1999,72,22.337600806718186,2,0,13.3,0,10
Hal Greer,1960-1969,73,21.763441253458353,2,0,19.2,0,15
Dennis Rodman,1990-1999,74,20.02040226247433,2,0,7.3,0,14
Jayson Tatum,2020-2029,75,19.620499369683177,4,1,23.5,0,9
Paul George,2010-2019,76,19.527733895864564,2,0,20.5,0,16
Chris Bosh,2010-2019,77,18.081494167725527,0,2,19.2,0,13
Bob McAdoo,1970-1979,78,17.32196756736963,2,0,22.1,0,14
Chris Webber,2000-2009,79,17.320681453816206,2,0,20.7,0,15
Alex English,1980-1989,79,17.320681453816206,2,0,21.5,0,15
Jimmy Butler,2020-2029,81,16.730379923344262,2,0,18.4,0,15
Grant Hill,2000-2009,82,15.004964765607506,2,0,16.7,0,18
Alonzo Mourning,1990-1999,83,14.910601114201292,2,0,17.1,0,15
Vince Carter,2000-2009,84,14.141309669685603,2,0,16.7,0,22
Sam Jones,1960-1969,85,13.204499534511443,2,0,17.7,0,12
Paul Arizin,1960-1969,86,13.197276501411181,2,0,22.8,0,10
Pete Maravich,1980-1989,86,13.197276501411181,2,0,24.2,0,10
Shai Gilgeous-Alexander,2020-2029,88,13.11355272129138,2,0,25.3,0,8
Adrian Dantley,1980-1989,89,12.541658533725872,2,0,24.3,0,15
Dikembe Mutombo,2000-2009,90,12.05735819292476,2,0,9.8,0,18
Bill Sharman,1960-1969,91,11.552834617256654,2,0,17.8,0,11
Spencer Haywood,1990-1999,92,9.18249102239517,2,0,19.2,0,12
Ben Wallace,2000-2009,93,8.943360428175858,2,0,5.7,0,16
Billy Cunningham,1970-1979,94,8.7324129392896,2,0,20.8,0,9
Draymond Green,2020-2029,95,8.669782424219203,2,0,8.7,0,14
Bob Lanier,1980-1989,96,7.904074952032718,2,0,20.1,0,14
Chauncey Billups,2000-2009,97,7.897816319254204,2,0,15.2,0,17
Amar'e Stoudemire,2000-2009,98,7.203405260792954,2,0,18.9,0,14
Lenny Wilkens,1970-1979,99,7.194116366519494,2,0,16.5,0,15
Bernard King,1990-1999,100,6.122546253703019,2,0,22.5,0,14
Dave Bing,1970-1979,101,5.634255711102386,2,0,20.3,0,12
Jerry Lucas,1970-1979,102,5.237758854634623,2,0,17.0,0,11
Klay Thompson,2010-2019,103,4.840198084898184,2,0,18.6,0,13
Earl Monroe,1970-1979,103,4.840198084898184,2,0,18.8,0,13
Rudy Gobert,2020-2029,105,4.620414619203796,2,0,12.5,0,13
Horace Grant,1990-1999,106,3.29260911867744,2,0,11.2,0,17
Dennis Johnson,1980-1989,107,1.596877012721558,2,0,14.1,0,14
Nate Thurmond,1970-1979,107,1.596877012721558,2,0,15.0,0,14
Sidney Moncrief,1980-1989,109,1.1444016745056222,2,0,15.6,0,11
Joe Dumars,1990-1999,110,1.0732047688158617,2,0,16.1,0,14
Kyle Lowry,2010-2019,111,0.9240047971685842,2,0,13.8,0,20
Al Horford,2010-2019,111,0.9240047971685842,2,0,12.7,0,19
Marc Gasol,2010-2019,113,0.43028430894125613,2,0,14.0,0,13
Dave DeBusschere,1960-1969,114,0.0,2,0,16.1,0,12
